id,site,habitat,cage,day,species,nr_seeds_start,nr_seed_remain,nr_seeds_remov,no_dam_no_ger,no_dam_ger,total_animal_damage,total_ins_dam,total_fung_dam
1_LMC2_A,Site_1,Forest_Edge,large_meshed_cage,10,Anthonotha,25,25,0,0,13,0,10,2
1_LMC3_A,Site_1,Forest_Edge,large_meshed_cage,10,Anthonotha,25,25,0,10,11,0,3,1
1_LMC4_A,Site_1,Forest_Edge,large_meshed_cage,10,Anthonotha,25,25,0,0,10,0,12,2
1_LMC5_A,Site_1,Forest_Edge,large_meshed_cage,10,Anthonotha,25,25,0,5,7,0,13,0
1_SMC1_A,Site_1,Forest_Edge,small_meshed_cage,10,Anthonotha,25,25,0,5,14,0,0,3
1_SMC2_A,Site_1,Forest_Edge,small_meshed_cage,10,Anthonotha,25,25,0,3,18,0,0,4
1_SMC3_A,Site_1,Forest_Edge,small_meshed_cage,10,Anthonotha,25,25,0,0,17,0,4,4
1_SMC4_A,Site_1,Forest_Edge,small_meshed_cage,10,Anthonotha,25,25,0,1,22,0,1,0
1_SMC5_A,Site_1,Forest_Edge,small_meshed_cage,10,Anthonotha,25,25,0,4,21,0,0,0
2_LMC1_A,Site_2,Forest_Edge,large_meshed_cage,10,Anthonotha,25,25,0,13,0,0,11,1
2_LMC2_A,Site_2,Forest_Edge,large_meshed_cage,10,Anthonotha,25,25,0,3,10,0,7,3
2_LMC3_A,Site_2,Forest_Edge,large_meshed_cage,10,Anthonotha,25,25,0,0,20,0,4,1
2_LMC4_A,Site_2,Forest_Edge,large_meshed_cage,10,Anthonotha,25,25,0,0,18,0,5,2
2_LMC5_A,Site_2,Forest_Edge,large_meshed_cage,10,Anthonotha,25,25,0,0,16,0,8,1
2_SMC1_A,Site_2,Forest_Edge,small_meshed_cage,10,Anthonotha,25,25,0,4,14,0,0,5
2_SMC2_A,Site_2,Forest_Edge,small_meshed_cage,10,Anthonotha,25,25,0,4,10,0,3,7
2_SMC3_A,Site_2,Forest_Edge,small_meshed_cage,10,Anthonotha,25,25,0,4,18,0,0,3
2_SMC4_A,Site_2,Forest_Edge,small_meshed_cage,10,Anthonotha,25,25,0,7,17,0,0,1
2_SMC5_A,Site_2,Forest_Edge,small_meshed_cage,10,Anthonotha,25,25,0,0,22,0,2,1
3_LMC1_A,Site_3,Forest_Edge,large_meshed_cage,10,Anthonotha,25,25,0,0,5,0,19,1
3_LMC2_A,Site_3,Forest_Edge,large_meshed_cage,10,Anthonotha,25,25,0,0,6,0,19,0
3_LMC3_A,Site_3,Forest_Edge,large_meshed_cage,10,Anthonotha,25,25,0,0,13,0,8,4
3_LMC4_A,Site_3,Forest_Edge,large_meshed_cage,10,Anthonotha,25,25,0,1,8,0,12,4
3_LMC5_A,Site_3,Forest_Edge,large_meshed_cage,10,Anthonotha,25,25,0,1,10,0,10,4
3_OC2_A,Site_3,Forest_Edge,opened_cage,10,Anthonotha,25,25,0,0,11,0,14,0
3_OC4_A,Site_3,Forest_Edge,opened_cage,10,Anthonotha,25,25,0,0,2,0,12,11
3_SMC1_A,Site_3,Forest_Edge,small_meshed_cage,10,Anthonotha,25,25,0,6,19,0,0,0
3_SMC2_A,Site_3,Forest_Edge,small_meshed_cage,10,Anthonotha,25,25,0,11,14,0,0,0
3_SMC3_A,Site_3,Forest_Edge,small_meshed_cage,10,Anthonotha,25,25,0,9,16,0,0,0
3_SMC4_A,Site_3,Forest_Edge,small_meshed_cage,10,Anthonotha,25,25,0,10,14,0,0,1
3_SMC5_A,Site_3,Forest_Edge,small_meshed_cage,10,Anthonotha,25,25,0,7,16,0,0,2
4_LMC2_A,Site_4,Forest_Core,large_meshed_cage,10,Anthonotha,25,25,0,4,11,0,6,4
4_LMC4_A,Site_4,Forest_Core,large_meshed_cage,10,Anthonotha,25,25,0,0,22,0,3,0
4_SMC1_A,Site_4,Forest_Core,small_meshed_cage,10,Anthonotha,25,25,0,7,16,0,0,2
4_SMC3_A,Site_4,Forest_Core,small_meshed_cage,10,Anthonotha,25,25,0,4,15,0,0,6
4_SMC4_A,Site_4,Forest_Core,small_meshed_cage,10,Anthonotha,25,25,0,3,21,0,0,1
4_SMC5_A,Site_4,Forest_Core,small_meshed_cage,10,Anthonotha,25,25,0,3,22,0,0,0
5_LMC1_A,Site_5,Forest_Core,large_meshed_cage,10,Anthonotha,25,25,0,0,20,0,1,4
5_LMC2_A,Site_5,Forest_Core,large_meshed_cage,10,Anthonotha,25,25,0,3,0,0,15,6
5_LMC3_A,Site_5,Forest_Core,large_meshed_cage,10,Anthonotha,25,25,0,0,1,0,20,4
5_LMC4_A,Site_5,Forest_Core,large_meshed_cage,10,Anthonotha,25,25,0,0,9,0,12,4
5_LMC5_A,Site_5,Forest_Core,large_meshed_cage,10,Anthonotha,25,25,0,0,6,0,15,4
5_SMC1_A,Site_5,Forest_Core,small_meshed_cage,10,Anthonotha,25,25,0,6,17,0,0,2
5_SMC2_A,Site_5,Forest_Core,small_meshed_cage,10,Anthonotha,25,25,0,3,13,0,0,9
5_SMC3_A,Site_5,Forest_Core,small_meshed_cage,10,Anthonotha,25,25,0,0,14,0,0,10
5_SMC4_A,Site_5,Forest_Core,small_meshed_cage,10,Anthonotha,25,25,0,5,12,0,0,8
5_SMC5_A,Site_5,Forest_Core,small_meshed_cage,10,Anthonotha,25,25,0,3,15,0,0,5
6_LMC1_A,Site_6,Forest_Core,large_meshed_cage,10,Anthonotha,25,25,0,0,2,0,20,3
6_LMC2_A,Site_6,Forest_Core,large_meshed_cage,10,Anthonotha,25,25,0,0,11,0,10,4
6_LMC5_A,Site_6,Forest_Core,large_meshed_cage,10,Anthonotha,25,25,0,0,5,0,18,2
6_SMC1_A,Site_6,Forest_Core,small_meshed_cage,10,Anthonotha,25,25,0,8,16,0,0,1
6_SMC2_A,Site_6,Forest_Core,small_meshed_cage,10,Anthonotha,25,25,0,13,11,0,0,1
6_SMC3_A,Site_6,Forest_Core,small_meshed_cage,10,Anthonotha,25,25,0,13,12,0,0,0
6_SMC4_A,Site_6,Forest_Core,small_meshed_cage,10,Anthonotha,25,25,0,1,18,0,3,3
6_SMC5_A,Site_6,Forest_Core,small_meshed_cage,10,Anthonotha,25,25,0,15,8,0,0,2
3_OC3_A,Site_3,Forest_Edge,opened_cage,10,Anthonotha,25,24,1,0,2,0,15,7
3_OC5_A,Site_3,Forest_Edge,opened_cage,10,Anthonotha,25,24,1,0,8,0,16,0
2_OC5_A,Site_2,Forest_Edge,opened_cage,10,Anthonotha,25,23,2,0,7,0,16,0
2_OC3_A,Site_2,Forest_Edge,opened_cage,10,Anthonotha,25,20,5,2,11,0,7,0
2_OC4_A,Site_2,Forest_Edge,opened_cage,10,Anthonotha,25,20,5,0,15,0,5,0
5_OC4_A,Site_5,Forest_Core,opened_cage,10,Anthonotha,25,20,5,1,7,0,11,1
6_OC1_A,Site_6,Forest_Core,opened_cage,10,Anthonotha,25,17,8,0,0,0,12,2
2_OC2_A,Site_2,Forest_Edge,opened_cage,10,Anthonotha,25,16,9,1,8,0,7,0
5_OC5_A,Site_5,Forest_Core,opened_cage,10,Anthonotha,25,15,10,0,2,5,4,4
2_OC1_A,Site_2,Forest_Edge,opened_cage,10,Anthonotha,25,14,11,0,2,0,12,0
1_OC3_A,Site_1,Forest_Edge,opened_cage,10,Anthonotha,25,5,20,0,0,1,4,0
1_OC5_A,Site_1,Forest_Edge,opened_cage,10,Anthonotha,25,5,20,0,0,0,4,1
6_OC2_A,Site_6,Forest_Core,opened_cage,10,Anthonotha,25,5,20,0,2,0,1,1
6_OC4_A,Site_6,Forest_Core,opened_cage,10,Anthonotha,25,5,20,0,0,0,0,0
5_OC3_A,Site_5,Forest_Core,opened_cage,10,Anthonotha,25,4,21,0,1,0,3,0
5_OC2_A,Site_5,Forest_Core,opened_cage,10,Anthonotha,25,3,22,0,0,0,3,0
3_OC1_A,Site_3,Forest_Edge,opened_cage,10,Anthonotha,25,2,23,1,1,0,0,0
4_OC1_A,Site_4,Forest_Core,opened_cage,10,Anthonotha,25,2,23,0,0,2,0,0
1_OC2_A,Site_1,Forest_Edge,opened_cage,10,Anthonotha,25,1,24,0,0,1,0,0
1_OC4_A,Site_1,Forest_Edge,opened_cage,10,Anthonotha,25,1,24,0,0,0,1,0
4_OC4_A,Site_4,Forest_Core,opened_cage,10,Anthonotha,25,1,24,0,0,0,1,0
6_OC3_A,Site_6,Forest_Core,opened_cage,10,Anthonotha,25,1,24,0,0,0,0,0
1_OC1_A,Site_1,Forest_Edge,opened_cage,10,Anthonotha,25,0,25,0,0,0,0,0
4_OC2_A,Site_4,Forest_Core,opened_cage,10,Anthonotha,25,0,25,0,0,0,0,0
4_OC3_A,Site_4,Forest_Core,opened_cage,10,Anthonotha,25,0,25,0,0,0,0,0
4_OC5_A,Site_4,Forest_Core,opened_cage,10,Anthonotha,25,0,25,0,0,0,0,0
5_OC1_A,Site_5,Forest_Core,opened_cage,10,Anthonotha,25,0,25,0,0,0,0,0
6_OC5_A,Site_6,Forest_Core,opened_cage,10,Anthonotha,25,0,25,0,0,0,0,0
1_LMC2_I,Site_1,Forest_Edge,large_meshed_cage,10,Isolona,25,25,0,13,0,0,4,8
1_LMC3_I,Site_1,Forest_Edge,large_meshed_cage,10,Isolona,25,25,0,14,3,0,7,1
1_LMC4_I,Site_1,Forest_Edge,large_meshed_cage,10,Isolona,25,25,0,9,9,0,7,0
1_LMC5_I,Site_1,Forest_Edge,large_meshed_cage,10,Isolona,25,25,0,12,1,0,10,2
1_OC5_I,Site_1,Forest_Edge,opened_cage,10,Isolona,25,0,0,0,0,0,0,0
1_SMC1_I,Site_1,Forest_Edge,small_meshed_cage,10,Isolona,25,25,0,7,14,0,1,2
1_SMC2_I,Site_1,Forest_Edge,small_meshed_cage,10,Isolona,25,25,0,13,9,0,2,1
1_SMC3_I,Site_1,Forest_Edge,small_meshed_cage,10,Isolona,25,25,0,6,12,0,0,1
1_SMC4_I,Site_1,Forest_Edge,small_meshed_cage,10,Isolona,25,25,0,10,10,0,0,2
1_SMC5_I,Site_1,Forest_Edge,small_meshed_cage,10,Isolona,25,25,0,10,10,0,0,1
2_LMC1_I,Site_2,Forest_Edge,large_meshed_cage,10,Isolona,25,25,0,16,0,0,6,0
2_LMC2_I,Site_2,Forest_Edge,large_meshed_cage,10,Isolona,25,25,0,13,4,0,8,0
2_LMC3_I,Site_2,Forest_Edge,large_meshed_cage,10,Isolona,25,25,0,8,5,0,12,0
2_LMC4_I,Site_2,Forest_Edge,large_meshed_cage,10,Isolona,25,1,0,0,0,0,1,0
2_LMC5_I,Site_2,Forest_Edge,large_meshed_cage,10,Isolona,25,0,0,0,0,0,0,0
2_OC2_I,Site_2,Forest_Edge,opened_cage,10,Isolona,25,0,0,0,0,0,0,0
2_OC3_I,Site_2,Forest_Edge,opened_cage,10,Isolona,25,0,0,0,0,0,0,0
2_OC4_I,Site_2,Forest_Edge,opened_cage,10,Isolona,25,0,0,0,0,0,0,0
2_OC5_I,Site_2,Forest_Edge,opened_cage,10,Isolona,25,0,0,0,0,0,0,0
2_SMC1_I,Site_2,Forest_Edge,small_meshed_cage,10,Isolona,25,25,0,7,8,0,4,6
2_SMC2_I,Site_2,Forest_Edge,small_meshed_cage,10,Isolona,25,25,0,21,3,0,0,1
2_SMC3_I,Site_2,Forest_Edge,small_meshed_cage,10,Isolona,25,25,0,13,10,0,0,2
2_SMC4_I,Site_2,Forest_Edge,small_meshed_cage,10,Isolona,25,25,0,21,4,0,0,0
2_SMC5_I,Site_2,Forest_Edge,small_meshed_cage,10,Isolona,25,25,0,8,16,0,1,0
3_LMC1_I,Site_3,Forest_Edge,large_meshed_cage,10,Isolona,25,19,0,9,5,0,5,0
3_LMC2_I,Site_3,Forest_Edge,large_meshed_cage,10,Isolona,25,21,0,14,1,0,6,0
3_LMC3_I,Site_3,Forest_Edge,large_meshed_cage,10,Isolona,25,14,0,5,4,0,4,1
3_LMC4_I,Site_3,Forest_Edge,large_meshed_cage,10,Isolona,25,21,0,9,5,0,7,0
3_LMC5_I,Site_3,Forest_Edge,large_meshed_cage,10,Isolona,25,25,0,10,8,0,4,3
3_OC4_I,Site_3,Forest_Edge,opened_cage,10,Isolona,25,25,0,10,2,0,8,5
3_SMC1_I,Site_3,Forest_Edge,small_meshed_cage,10,Isolona,25,25,0,14,7,0,3,0
3_SMC2_I,Site_3,Forest_Edge,small_meshed_cage,10,Isolona,25,25,0,12,3,0,3,2
3_SMC3_I,Site_3,Forest_Edge,small_meshed_cage,10,Isolona,25,25,0,17,4,0,0,4
3_SMC4_I,Site_3,Forest_Edge,small_meshed_cage,10,Isolona,25,25,0,15,10,0,0,0
3_SMC5_I,Site_3,Forest_Edge,small_meshed_cage,10,Isolona,25,25,0,9,13,0,0,0
4_LMC2_I,Site_4,Forest_Core,large_meshed_cage,10,Isolona,25,25,0,10,4,0,11,0
4_LMC4_I,Site_4,Forest_Core,large_meshed_cage,10,Isolona,25,25,0,8,0,0,4,4
4_OC2_I,Site_4,Forest_Core,opened_cage,10,Isolona,25,0,0,0,0,0,0,0
4_OC3_I,Site_4,Forest_Core,opened_cage,10,Isolona,25,0,0,0,0,0,0,0
4_SMC1_I,Site_4,Forest_Core,small_meshed_cage,10,Isolona,25,25,0,21,3,0,0,0
4_SMC3_I,Site_4,Forest_Core,small_meshed_cage,10,Isolona,25,25,0,17,1,0,0,2
4_SMC4_I,Site_4,Forest_Core,small_meshed_cage,10,Isolona,25,25,0,12,9,0,0,0
4_SMC5_I,Site_4,Forest_Core,small_meshed_cage,10,Isolona,25,25,0,18,1,0,0,6
5_LMC1_I,Site_5,Forest_Core,large_meshed_cage,10,Isolona,25,19,0,7,4,0,5,3
5_LMC2_I,Site_5,Forest_Core,large_meshed_cage,10,Isolona,25,21,0,7,1,0,7,6
5_LMC3_I,Site_5,Forest_Core,large_meshed_cage,10,Isolona,25,25,0,9,2,0,8,6
5_LMC4_I,Site_5,Forest_Core,large_meshed_cage,10,Isolona,25,25,0,6,1,0,4,14
5_LMC5_I,Site_5,Forest_Core,large_meshed_cage,10,Isolona,25,25,0,6,0,0,4,15
5_SMC1_I,Site_5,Forest_Core,small_meshed_cage,10,Isolona,25,25,0,16,7,0,0,2
5_SMC2_I,Site_5,Forest_Core,small_meshed_cage,10,Isolona,25,25,0,16,2,0,0,5
5_SMC3_I,Site_5,Forest_Core,small_meshed_cage,10,Isolona,25,25,0,13,5,0,0,3
5_SMC4_I,Site_5,Forest_Core,small_meshed_cage,10,Isolona,25,25,0,11,2,0,1,7
5_SMC5_I,Site_5,Forest_Core,small_meshed_cage,10,Isolona,25,25,0,10,0,0,0,0
6_LMC1_I,Site_6,Forest_Core,large_meshed_cage,10,Isolona,25,24,0,6,8,0,10,0
6_LMC2_I,Site_6,Forest_Core,large_meshed_cage,10,Isolona,25,25,0,12,1,0,8,4
6_LMC5_I,Site_6,Forest_Core,large_meshed_cage,10,Isolona,25,11,0,4,1,0,5,1
6_SMC1_I,Site_6,Forest_Core,small_meshed_cage,10,Isolona,25,25,0,17,5,0,0,3
6_SMC2_I,Site_6,Forest_Core,small_meshed_cage,10,Isolona,25,25,0,18,6,0,0,1
6_SMC3_I,Site_6,Forest_Core,small_meshed_cage,10,Isolona,25,25,0,24,1,0,0,0
6_SMC4_I,Site_6,Forest_Core,small_meshed_cage,10,Isolona,25,25,0,15,5,0,0,5
6_SMC5_I,Site_6,Forest_Core,small_meshed_cage,10,Isolona,25,25,0,17,6,0,0,2
