"id","site","habitat","cage","day","species","nr_seeds_start","nr_seed_remain","nr_seeds_remov","no_dam_no_ger","no_dam_ger","agent","damage"
"1_LMC2_A","Site_1","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,25,0,"vertebrate",0
"1_LMC2_A","Site_1","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,25,0,"insect",0
"1_LMC2_A","Site_1","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,25,0,"fungi",0
"1_LMC3_A","Site_1","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,25,0,"vertebrate",0
"1_LMC3_A","Site_1","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,25,0,"insect",0
"1_LMC3_A","Site_1","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,25,0,"fungi",0
"1_LMC4_A","Site_1","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,24,0,"vertebrate",0
"1_LMC4_A","Site_1","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,24,0,"insect",1
"1_LMC4_A","Site_1","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,24,0,"fungi",0
"1_LMC5_A","Site_1","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,25,0,"vertebrate",0
"1_LMC5_A","Site_1","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,25,0,"insect",0
"1_LMC5_A","Site_1","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,25,0,"fungi",0
"1_OC3_A","Site_1","Forest_Edge","opened_cage",2,"Anthonotha",25,25,0,12,0,"vertebrate",7
"1_OC3_A","Site_1","Forest_Edge","opened_cage",2,"Anthonotha",25,25,0,12,0,"insect",3
"1_OC3_A","Site_1","Forest_Edge","opened_cage",2,"Anthonotha",25,25,0,12,0,"fungi",0
"1_SMC1_A","Site_1","Forest_Edge","small_meshed_cage",2,"Anthonotha",25,25,0,25,0,"vertebrate",0
"1_SMC1_A","Site_1","Forest_Edge","small_meshed_cage",2,"Anthonotha",25,25,0,25,0,"insect",0
"1_SMC1_A","Site_1","Forest_Edge","small_meshed_cage",2,"Anthonotha",25,25,0,25,0,"fungi",0
"1_SMC2_A","Site_1","Forest_Edge","small_meshed_cage",2,"Anthonotha",25,25,0,25,0,"vertebrate",0
"1_SMC2_A","Site_1","Forest_Edge","small_meshed_cage",2,"Anthonotha",25,25,0,25,0,"insect",0
"1_SMC2_A","Site_1","Forest_Edge","small_meshed_cage",2,"Anthonotha",25,25,0,25,0,"fungi",0
"1_SMC3_A","Site_1","Forest_Edge","small_meshed_cage",2,"Anthonotha",25,25,0,25,0,"vertebrate",0
"1_SMC3_A","Site_1","Forest_Edge","small_meshed_cage",2,"Anthonotha",25,25,0,25,0,"insect",0
"1_SMC3_A","Site_1","Forest_Edge","small_meshed_cage",2,"Anthonotha",25,25,0,25,0,"fungi",0
"1_SMC4_A","Site_1","Forest_Edge","small_meshed_cage",2,"Anthonotha",25,25,0,25,0,"vertebrate",0
"1_SMC4_A","Site_1","Forest_Edge","small_meshed_cage",2,"Anthonotha",25,25,0,25,0,"insect",0
"1_SMC4_A","Site_1","Forest_Edge","small_meshed_cage",2,"Anthonotha",25,25,0,25,0,"fungi",0
"1_SMC5_A","Site_1","Forest_Edge","small_meshed_cage",2,"Anthonotha",25,25,0,25,0,"vertebrate",0
"1_SMC5_A","Site_1","Forest_Edge","small_meshed_cage",2,"Anthonotha",25,25,0,25,0,"insect",0
"1_SMC5_A","Site_1","Forest_Edge","small_meshed_cage",2,"Anthonotha",25,25,0,25,0,"fungi",0
"2_LMC1_A","Site_2","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,23,0,"vertebrate",0
"2_LMC1_A","Site_2","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,23,0,"insect",2
"2_LMC1_A","Site_2","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,23,0,"fungi",0
"2_LMC2_A","Site_2","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,20,0,"vertebrate",0
"2_LMC2_A","Site_2","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,20,0,"insect",1
"2_LMC2_A","Site_2","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,20,0,"fungi",4
"2_LMC3_A","Site_2","Forest_Edge","large_meshed_cage",2,"Anthonotha",25,25,0,22,0,"vertebrate",0
